Char	Script
<unk>	Others
<pad>	Others
<ws>	Others
e	Basic Latin[g]
a	Basic Latin[g]
i	Basic Latin[g]
o	Basic Latin[g]
n	Basic Latin[g]
s	Basic Latin[g]
t	Basic Latin[g]
r	Basic Latin[g]
l	Basic Latin[g]
d	Basic Latin[g]
u	Basic Latin[g]
c	Basic Latin[g]
m	Basic Latin[g]
p	Basic Latin[g]
h	Basic Latin[g]
g	Basic Latin[g]
ا	Arabic
v	Basic Latin[g]
f	Basic Latin[g]
b	Basic Latin[g]
ل	Arabic
ي	Arabic
é	Latin-1 Supplement[h]
م	Arabic
y	Basic Latin[g]
q	Basic Latin[g]
و	Arabic
ن	Arabic
z	Basic Latin[g]
ر	Arabic
ت	Arabic
ة	Arabic
w	Basic Latin[g]
ع	Arabic
د	Arabic
ب	Arabic
'	Basic Latin[g]
س	Arabic
ف	Arabic
x	Basic Latin[g]
ك	Arabic
à	Latin-1 Supplement[h]
ق	Arabic
è	Latin-1 Supplement[h]
أ	Arabic
ه	Arabic
j	Basic Latin[g]
-	Basic Latin[g]
’	General Punctuation
ح	Arabic
k	Basic Latin[g]
ج	Arabic
ã	Latin-1 Supplement[h]
á	Latin-1 Supplement[h]
ç	Latin-1 Supplement[h]
ص	Arabic
ش	Arabic
í	Latin-1 Supplement[h]
ó	Latin-1 Supplement[h]
إ	Arabic
ى	Arabic
خ	Arabic
،	Arabic
ط	Arabic
ز	Arabic
ض	Arabic
ê	Latin-1 Supplement[h]
!	Basic Latin[g]
ئ	Arabic
ث	Arabic
ذ	Arabic
غ	Arabic
«	Latin-1 Supplement[h]
»	Latin-1 Supplement[h]
ô	Latin-1 Supplement[h]
ú	Latin-1 Supplement[h]
?	Basic Latin[g]
ù	Latin-1 Supplement[h]
ء	Arabic
“	General Punctuation
ً	Arabic
”	General Punctuation
â	Latin-1 Supplement[h]
ُ	Arabic
ظ	Arabic
ّ	Arabic
;	Basic Latin[g]
َ	Arabic
ò	Latin-1 Supplement[h]
ñ	Latin-1 Supplement[h]
آ	Arabic
õ	Latin-1 Supplement[h]
#	Basic Latin[g]
—	General Punctuation
·	Latin-1 Supplement[h]
@	Basic Latin[g]
 	General Punctuation
		Basic Latin[g]
î	Latin-1 Supplement[h]
😂	Others
ؤ	Arabic
…	General Punctuation
ٍ	Arabic
ِ	Arabic
°	Latin-1 Supplement[h]
ì	Latin-1 Supplement[h]
¡	Latin-1 Supplement[h]
¿	Latin-1 Supplement[h]
‏	General Punctuation
*	Basic Latin[g]
😘	Others
💤	Others
²	Latin-1 Supplement[h]
œ	Latin
ï	Latin-1 Supplement[h]
û	Latin-1 Supplement[h]
؛	Arabic
+	Basic Latin[g]
­	Latin-1 Supplement[h]
⚽	Others
ْ	Arabic
️	Others
º	Latin-1 Supplement[h]
🏼	Others
✊	Others
‘	General Punctuation
$	Basic Latin[g]
έ	Greek and Coptic
ν	Greek and Coptic
ٌ	Arabic
😌	Others
؟	Arabic
◄	Others
👍	Others
🙏	Others
🇦	Others
ü	Latin-1 Supplement[h]
💥	Others
&	Basic Latin[g]
η	Greek and Coptic
χ	Greek and Coptic
🇷	Others
پ	Arabic
💫	Others
↔	Others
🙄	Others
ª	Latin-1 Supplement[h]
